Date,Start Time,End Time,Code,Subject_en,Subject_th,Credits,Note,Section,Section_Type_en,Section_Type_th,Building,Room,Instructor_th,Instructor_en,Proctor
2026-03-16,13:00,16:00,01205202,Electrical Engineering Laboratory I,ปฏิบัติการวิศวกรรมไฟฟ้า I,1,"CB CN
อนุญาต เครื่องคิดเลข เครื่องคิดเลขรุ่นคณะแจก NP ไม่ต้อง Reset เครื่อง",12,Laboratory,ปฏิบัติ,อาคาร 14,410,นพดา ธีรอัจฉริยกุล(ผู้กรอกเกรด),Noppada Teera-achariyakul(Master),"นายพูนลาภ ลามศรีจันทร์
นางสาวปานจิต ดำรงกุลกำจร
นางชีวารัตน์ บุณยสงวน"
2026-03-16,13:00,16:00,01205202,Electrical Engineering Laboratory I,ปฏิบัติการวิศวกรรมไฟฟ้า I,1,"CB CN
อนุญาต เครื่องคิดเลข เครื่องคิดเลขรุ่นคณะแจก NP ไม่ต้อง Reset เครื่อง",14,Laboratory,ปฏิบัติ,อาคาร 14,410,นพดา ธีรอัจฉริยกุล(ผู้กรอกเกรด),Noppada Teera-achariyakul(Master),"นายพูนลาภ ลามศรีจันทร์
นางสาวปานจิต ดำรงกุลกำจร
นางชีวารัตน์ บุณยสงวน"
2026-03-16,13:00,16:00,01205202,Electrical Engineering Laboratory I,ปฏิบัติการวิศวกรรมไฟฟ้า I,1,"CB CN
อนุญาต เครื่องคิดเลข เครื่องคิดเลขรุ่นคณะแจก NP ไม่ต้อง Reset เครื่อง",11,Laboratory,ปฏิบัติ,อาคาร 14,803,นพดา ธีรอัจฉริยกุล(ผู้กรอกเกรด),Noppada Teera-achariyakul(Master),"นางสาวนพดา ธีรอัจฉริยกุล
นายธงชาติ เกิดผล
นางสาวนุสรา เชื้อชาติ"
2026-03-16,13:00,16:00,01205202,Electrical Engineering Laboratory I,ปฏิบัติการวิศวกรรมไฟฟ้า I,1,"CB CN
อนุญาต เครื่องคิดเลข เครื่องคิดเลขรุ่นคณะแจก NP ไม่ต้อง Reset เครื่อง",250,Laboratory,ปฏิบัติ,อาคาร 14,803,นพดา ธีรอัจฉริยกุล(ผู้กรอกเกรด),Noppada Teera-achariyakul(Master),"นางสาวนพดา ธีรอัจฉริยกุล
นายธงชาติ เกิดผล
นางสาวนุสรา เชื้อชาติ"
2026-03-16,13:00,16:00,01205216,Signals and Systems,สัญญาณและระบบ,3,"CB CN
อนุญาต เครื่องคิดเลข เครื่องคิดเลขรุ่นคณะแจก NP ไม่ต้อง Reset เครื่อง",250,Lecture,บรรยาย,อาคาร 11,N709,ศิริวัฒน์ พูนวศิน(ผู้กรอกเกรด),Sirivat Poonvasin(Master),"นายคมสันต์ หงษ์สมบัติ
นายธีรชัย แสงกนึก"
2026-03-16,13:00,16:00,01205216,Signals and Systems,สัญญาณและระบบ,3,"CB CN
อนุญาต เครื่องคิดเลข เครื่องคิดเลขรุ่นคณะแจก NP ไม่ต้อง Reset เครื่อง",251,Lecture,บรรยาย,อาคาร 11,N709,เอกชัย ไพศาลกิตติสกุล(ผู้กรอกเกรด),Ekachai Phaisangittisagul(Master),"นายคมสันต์ หงษ์สมบัติ
นายธีรชัย แสงกนึก"
2026-03-16,13:00,16:00,01205216,Signals and Systems,สัญญาณและระบบ,3,"CB CN
อนุญาต เครื่องคิดเลข เครื่องคิดเลขรุ่นคณะแจก NP ไม่ต้อง Reset เครื่อง",1,Lecture,บรรยาย,อาคาร 11,N707,ศิริวัฒน์ พูนวศิน(ผู้กรอกเกรด),Sirivat Poonvasin(Master),"นายศิริวัฒน์ พูนวศิน
นายนิทัศน์ แก้วทิม"
2026-03-16,13:00,16:00,01205216,Signals and Systems,สัญญาณและระบบ,3,"CB CN
อนุญาต เครื่องคิดเลข เครื่องคิดเลขรุ่นคณะแจก NP ไม่ต้อง Reset เครื่อง",250,Lecture,บรรยาย,อาคาร 11,N707,ศิริวัฒน์ พูนวศิน(ผู้กรอกเกรด),Sirivat Poonvasin(Master),"นายศิริวัฒน์ พูนวศิน
นายนิทัศน์ แก้วทิม"
2026-03-16,13:00,16:00,01205216,Signals and Systems,สัญญาณและระบบ,3,"CB CN
อนุญาต เครื่องคิดเลข เครื่องคิดเลขรุ่นคณะแจก NP ไม่ต้อง Reset เครื่อง",2,Lecture,บรรยาย,อาคาร 11,N708,เอกชัย ไพศาลกิตติสกุล(ผู้กรอกเกรด),Ekachai Phaisangittisagul(Master),"นายเอกชัย ไพศาลกิตติสกุล
นายอนุพงศ์ พงษ์สุวรรณ"
2026-03-16,13:00,16:00,01205216,Signals and Systems,สัญญาณและระบบ,3,"CB CN
อนุญาต เครื่องคิดเลข เครื่องคิดเลขรุ่นคณะแจก NP ไม่ต้อง Reset เครื่อง",251,Lecture,บรรยาย,อาคาร 11,N708,เอกชัย ไพศาลกิตติสกุล(ผู้กรอกเกรด),Ekachai Phaisangittisagul(Master),"นายเอกชัย ไพศาลกิตติสกุล
นายอนุพงศ์ พงษ์สุวรรณ"
